created_day,median_response_hours,p90_response_hours,within_48h_rate,requests,weekday,forecast_requests,absolute_pct_error,volume_z_score,volume_anomaly
2024-02-19,0.9040277777777778,43.96325,0.9126506024096386,7519,Monday,8953.8,0.19082324777231005,-2.192993351867849,False
2024-02-20,1.871388888888889,133.5438888888889,0.8549848942598187,8533,Tuesday,8995.6,0.0542130551974687,-0.6740220376145556,False
2024-02-21,5.305,60.151,0.8738461538461538,8825,Wednesday,9311.1,0.05508215297450429,-0.710738583474412,False
2024-02-22,2.108611111111111,42.59227777777778,0.9037900874635568,8406,Thursday,9407.8,0.11917677849155356,-1.5164714643224089,False
2024-02-23,1.1025,66.61627777777791,0.8588235294117647,8512,Friday,8818.2,0.035972744360902344,-0.4296617068706605,False
2024-02-24,0.9630555555555556,16.692500000000045,0.918918918918919,7023,Saturday,7430.3,0.057995158764060965,-0.5876209743783825,False
2024-02-25,1.2594444444444444,41.71236111111111,0.9375,7165,Sunday,7522.9,0.049951151430565194,-0.510438107762343,False
2024-02-26,3.0036111111111112,89.89722222222223,0.799410029498525,8895,Monday,8953.8,0.0066104553119729365,-0.04312241130774402,False
2024-02-27,1.3580555555555556,42.64458333333333,0.9196428571428571,8692,Tuesday,8995.6,0.034928670041417434,-0.42559945073297367,False
2024-02-28,2.291388888888889,39.31194444444444,0.9166666666666666,8351,Wednesday,9311.1,0.11496826727338048,-1.4513191254987505,False
2024-02-29,4.7925,133.08450000000002,0.8256880733944955,8891,Thursday,9407.8,0.058126195028680605,-0.758704454023244,False
2024-03-01,1.5638888888888889,82.07444444444444,0.8473520249221184,8839,Friday,8818.2,0.002353207376399963,0.08124512275372489,False
2024-03-02,1.0144444444444445,69.66666666666667,0.8368580060422961,6952,Saturday,7430.3,0.06880034522439589,-0.698551815061353,False
2024-03-03,0.9441666666666667,32.751666666666665,0.9391304347826087,8231,Sunday,7522.9,0.08602842910946426,1.1550869086890174,False
2024-03-04,1.4001388888888888,114.18494444444447,0.8224852071005917,8990,Monday,8953.8,0.004026696329254808,0.10530617833848416,False
2024-03-05,1.510138888888889,42.135555555555555,0.9269005847953217,8122,Tuesday,8995.6,0.10755971435606998,-1.3161709886103428,False
2024-03-06,1.0225,32.409444444444446,0.9274924471299094,8550,Wednesday,9311.1,0.08901754385964916,-1.1404002903450725,False
2024-03-07,1.9127777777777777,145.60299999999987,0.8275862068965517,8877,Thursday,9407.8,0.05979497578010581,-0.7805781409184777,False
2024-03-08,1.1936111111111112,64.71319444444444,0.875,8631,Friday,8818.2,0.021689259645464108,-0.2437353682611747,False
2024-03-09,0.747638888888889,16.842194444444445,0.9244186046511628,7404,Saturday,7430.3,0.003552133981631575,0.007655790413332622,False
2024-03-10,1.4056944444444444,56.15025000000002,0.8909090909090909,7714,Sunday,7522.9,0.024773139745916564,0.3473228997721756,False
2024-03-11,2.379166666666667,99.59183333333438,0.8219584569732937,9405,Monday,8953.8,0.04797448165869226,0.753704754161481,False
2024-03-12,1.4219444444444445,64.06905555555565,0.8813056379821959,9725,Tuesday,8995.6,0.07500257069408736,1.1883661608939073,False
2024-03-13,1.291388888888889,35.37000000000001,0.9237804878048781,9302,Wednesday,9311.1,0.0009782842399484373,0.03452917717033365,False
2024-03-14,1.2616666666666667,58.59216666666667,0.8955223880597015,9377,Thursday,9407.8,0.0032846326117094244,0.0006249624827232344,False
2024-03-15,0.7226388888888888,44.10205555555568,0.899390243902439,8727,Friday,8818.2,0.01045032657270548,-0.09374437240814411,False
2024-03-16,0.6690277777777778,5.558666666666671,0.9298245614035088,7394,Saturday,7430.3,0.004909385988639462,-0.007968271654691397,False
2024-03-17,0.7716666666666666,9.8975,0.9560117302052786,7501,Sunday,7522.9,0.0029196107185708088,0.014530377723264043,False
2024-03-18,0.9022222222222223,37.512888888888895,0.9352941176470588,8062,Monday,8953.8,0.11061771272637054,-1.3446067815741447,False
2024-03-19,3.698888888888889,81.75655555555556,0.8553846153846154,11327,Tuesday,8995.6,0.20582678555663456,3.691340904191355,True
2024-03-20,1.2469444444444444,95.1065,0.8542274052478134,9106,Wednesday,9311.1,0.022523610806061977,-0.2717024393629371,False
2024-03-21,2.901388888888889,179.90094444444446,0.827893175074184,9215,Thursday,9407.8,0.020922409115572357,-0.2524848430192659,False
2024-03-22,2.1030555555555557,90.34361111111112,0.8189910979228486,8881,Friday,8818.2,0.007071275757234464,0.14686618343942578,False
2024-03-23,1.3016666666666667,92.0025,0.782991202346041,7590,Saturday,7430.3,0.021040843214756234,0.29826334487857936,False
2024-03-24,0.8394444444444444,59.830555555555556,0.8651026392961877,7969,Sunday,7522.9,0.05597942025348229,0.7457364825067881,False
2024-03-25,1.1488888888888888,86.13005555555524,0.8702064896755162,9276,Monday,8953.8,0.034734799482535654,0.5521543534839711,False
2024-03-26,4.968194444444444,346.8283611111111,0.772189349112426,9380,Tuesday,8995.6,0.04098081023454154,0.6493360195470788,False
2024-03-27,1.1754166666666666,43.46905555555555,0.9101796407185628,8730,Wednesday,9311.1,0.06656357388316156,-0.8591671731206402,False
2024-03-28,1.1030555555555555,43.866888888888894,0.9171597633136095,7307,Thursday,9407.8,0.2875051320651429,-3.2335558855982485,True
2024-03-29,1.2075,84.69583333333333,0.8601190476190477,7740,Friday,8818.2,0.13930232558139544,-1.6358392985221146,False
2024-03-30,1.1995833333333334,79.33025000000008,0.8323529411764706,7258,Saturday,7430.3,0.023739322127307824,-0.22045551577981803,False
2024-03-31,1.2313888888888889,55.33238888888889,0.8950437317784257,7270,Sunday,7522.9,0.034786795048143006,-0.3463854560480908,False
